ORIGINAL ORDER,MONTH,HABITAT,PLOP,SUB,TAG,INDICADOR,FAMILY,Nombre científico,GENERO,Especie,B,F,UF,RF,D,OBS,N,DATE,YEAR,TEMPERATURE,RAIN,GENERO_limpio,Rol_Agroforestal
2207,1,Bosque de Tierra Firme,TF1,1a,501,NO,Fabaceae,Swartzia myrtifolia Sm.,Swartzia,myrtifolia,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Swartzia,Ingeniero del Suelo - Fijador N
2210,1,Bosque de Tierra Firme,TF1,1a,504,NO,Fabaceae,Swartzia tomentifera (Ducke) Ducke,Swartzia,tomentifera,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Swartzia,Ingeniero del Suelo - Fijador N
2212,1,Bosque de Tierra Firme,TF1,1a,506,NO,Apocynaceae,Aspidosperma nitidum Benth. ex Müll.Arg.,Aspidosperma,nitidum,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Aspidosperma,Caja Fuerte - Maderable
2218,1,Bosque de Tierra Firme,TF1,1b,512,NO,Sapotaceae,Pouteria procera (Mart.) K.Hammer,Pouteria,procera,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Pouteria,Estrella Comercial - Frutal
2224,1,Bosque de Tierra Firme,TF1,2a,519,NO,Euphorbiaceae,Croton lechleri Müll.Arg.,Croton,lechleri,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Croton,Estrella Comercial - Industrial
2231,1,Bosque de Tierra Firme,TF1,2b,528,NO,Fabaceae,Erythrina ulei Harms,Erythrina,ulei,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Erythrina,Ingeniero del Suelo - Fijador N
2232,1,Bosque de Tierra Firme,TF1,2b,529,NO,Fabaceae,Erythrina ulei Harms,Erythrina,ulei,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Erythrina,Ingeniero del Suelo - Fijador N
2246,1,Bosque de Tierra Firme,TF1,3b,547,NO,Fabaceae,Erythrina ulei Harms,Erythrina,ulei,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Erythrina,Ingeniero del Suelo - Fijador N
2249,1,Bosque de Tierra Firme,TF1,4a,553,NO,Fabaceae,Erythrina ulei Harms,Erythrina,ulei,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Erythrina,Ingeniero del Suelo - Fijador N
2253,1,Bosque de Tierra Firme,TF1,4b,559,NO,Sapotaceae,Pouteria pariry (Ducke) Baehni,Pouteria,pariry,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Pouteria,Estrella Comercial - Frutal
2254,1,Bosque de Tierra Firme,TF1,4b,560,NO,Fabaceae,Erythrina ulei Harms,Erythrina,ulei,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Erythrina,Ingeniero del Suelo - Fijador N
2258,1,Bosque de Tierra Firme,TF1,5a,564,NO,Fabaceae,Hymenaea courbaril L.,Hymenaea,courbaril,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Hymenaea,Estrella Comercial - Frutal
2269,1,Bosque de Tierra Firme,TF1,6a,580,NO,Sapotaceae,Pouteria sp. 3,Pouteria,sp,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Pouteria,Estrella Comercial - Frutal
2270,1,Bosque de Tierra Firme,TF1,6a,581,NO,Fabaceae,Swartzia myrtifolia Sm.,Swartzia,myrtifolia,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Swartzia,Ingeniero del Suelo - Fijador N
2273,1,Bosque de Tierra Firme,TF1,6b,589,NO,Fabaceae,Hymenaea courbaril L.,Hymenaea,courbaril,0,0,2,0,0,,1,2010-01-08,2010,24.160714285714285,491.00000000000017,Hymenaea,Estrella Comercial - Frutal
2291,1,Bosque de Tierra Firme,TF2,1b,614,NO,Fabaceae,Copaifera reticulata Ducke,Copaifera,reticulata,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Copaifera,Estrella Comercial - Industrial
2294,1,Bosque de Tierra Firme,TF2,1b,617,NO,Sapotaceae,Pouteria sp. 2,Pouteria,sp,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Pouteria,Estrella Comercial - Frutal
2299,1,Bosque de Tierra Firme,TF2,1b,624,NO,Euphorbiaceae,Hevea guianensis Aubl.,Hevea,guianensis,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Hevea,Estrella Comercial - Industrial
2303,1,Bosque de Tierra Firme,TF2,2a,629,NO,Euphorbiaceae,Hevea guianensis Aubl.,Hevea,guianensis,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Hevea,Estrella Comercial - Industrial
2310,1,Bosque de Tierra Firme,TF2,2b,638,NO,Moraceae,Brosimum rubescens Taub.,Brosimum,rubescens,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Brosimum,Caja Fuerte - Maderable
2315,1,Bosque de Tierra Firme,TF2,3a,648,NO,Sapotaceae,Pouteria torta (Mart.) Radlk.,Pouteria,torta,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Pouteria,Estrella Comercial - Frutal
