CODIGO,HABITAT,ESTE_UTM19L,NORTE_UTM19L,ALTURA_MSNM,LATITUD,LONGITUD
AG1,BOSQUE DE AGUAJAL,433515.201,8547477.055,253.0,-13.13841,-69.613426
AG2,BOSQUE DE AGUAJAL,432986.135,8547633.359,280.0,-13.136985,-69.618303
AG3,BOSQUE DE AGUAJAL,433457.424,8547511.464,250.0,-13.138098,-69.613958
AG4,BOSQUE DE AGUAJAL,432921.577,8547881.484,254.0,-13.13474,-69.618893
AG5,BOSQUE DE AGUAJAL,432947.402,8547857.978,260.0,-13.134953,-69.618656
AG6,BOSQUE DE AGUAJAL,433538.792,8547460.339,265.9,-13.138562,-69.613208
AG7,BOSQUE DE AGUAJAL,433457.454,8547490.385,260.0,-13.138288,-69.613958
AG8,BOSQUE DE AGUAJAL,432931.627,8547846.66,257.0,-13.135055,-69.618801
AG9,BOSQUE DE AGUAJAL,433009.972,8547636.735,268.8,-13.136955,-69.618083
FP1,BOSQUE DE BAJÍO,434227.383,8548140.462,242.7,-13.132427,-69.60684
FP2,BOSQUE DE BAJÍO,433840.992,8548014.79,257.6,-13.133555,-69.610408
FP3,BOSQUE DE BAJÍO,433393.278,8548046.128,258.8,-13.133262,-69.614538
FP4,BOSQUE DE BAJÍO,433224.998,8548417.653,257.0,-13.129899,-69.616082
FP6,BOSQUE DE BAJÍO,433695.835,8548336.048,245.7,-13.130647,-69.61174
TF1,BOSQUE DE TIERRA FIRME,432727.291,8546522.696,276.3,-13.147022,-69.620717
TF2,BOSQUE DE TIERRA FIRME,432510.836,8546923.223,266.0,-13.143396,-69.622705
TF3,BOSQUE DE TIERRA FIRME,432717.697,8547558.97,270.6,-13.137652,-69.620782
TF4,BOSQUE DE TIERRA FIRME,432803.857,8547728.265,267.9,-13.136123,-69.619983
TF5,BOSQUE DE TIERRA FIRME,433027.178,8547233.95,303.2,-13.140597,-69.617934
BS1,BOSQUE SUCESIONAL,434510.515,8596655.724,260.9,-12.693745,-69.603175
BS2,BOSQUE SUCESIONAL,434751.015,8546966.019,286.0,-13.143058,-69.602035
BS3,BOSQUE SUCESIONAL,434970.356,8547101.038,241.8,-13.141842,-69.600008
BS4,BOSQUE SUCESIONAL,433465.121,8546260.769,270.0,-13.149407,-69.613915
BS6,BOSQUE SUCESIONAL,435028.69,8547109.471,243.7,-13.141767,-69.59947
BS7,BOSQUE SUCESIONAL,433477.025,8546565.028,267.7,-13.146656,-69.613798
